Part_id	Sc_id	answer	endpupilsize	maxpupilsize	maxpupilvelocity	meanpupilsize	meanpupilvelocity	minpupilsize	minpupilvelocity	startpupilsize	stddevpupilsize	stddevpupilvelocity
1	seg9	1.0	2591.0	3499.5	0.049147352	3211.862866	0.000954402	2224.5	0	3302.5	148.7421426	0.00309747
1	seg8	1.0	2999.5	3939.5	0.094926449	3360.041623	0.001078881	1532.0	0	3633.0	257.7686938	0.005105558
1	seg5	1.0	3536.5	4054.5	0.027289102	3426.97619	0.001165236	1591.0	0	3632.0	438.1435253	0.003139709
1	seg7	0.0	2999.5	3939.5	0.094926449	3360.041623	0.001078881	1532.0	0	3633.0	257.7686938	0.005105558
1	seg6	1.0	3194.5	4054.5	0.094926449	3425.902068	0.001129677	1532.0	0	3445.0	273.5291323	0.00513612
1	seg10	1.0	3388.0	3826.5	0.064305014	3316.547126	0.001151023	1901.0	0	3311.0	257.1891698	0.003800889
1	seg3	1.0	3697.5	3947.5	0.043410387	3433.323967	0.001031877	1433.0	0	3465.5	269.8495749	0.003063373
1	seg2	1.0	1747.0	3992.5	0.104840759	3427.575474	0.001024618	0.982	0	3745.0	257.0511375	0.004507904
1	seg15	1.0	2449.5	3735.0	0.071059742	3212.233064	0.000932386	1759.0	0	3112.5	235.067113	0.004340986
1	seg13	1.0	3095.5	3633.5	0.021346223	3192.822449	0.00055281	2677.0	0	3324.0	148.2915	0.001212829
1	seg14	1.0	3539.0	3730.0	0.071059742	3173.797794	0.000875582	1759.0	0	3087.5	195.5766026	0.004272755
1	seg17	1.0	3115.5	3521.0	0.111024379	3200.019304	0.000687239	1150.0	0	3088.5	168.9543886	0.003699363
2	seg9	1.0	4309.0	5051.5	0.041071214	4254.395078	0.000973874	2588.0	0	4757.5	339.0765938	0.002831681
2	seg8	1.0	4046.0	5051.5	0.095292422	4285.37081	0.001476999	2296.0	0	4100.0	352.4665987	0.006156419
2	seg5	1.0	3880.0	5128.0	0.113703237	4345.225102	0.001138727	2245.5	0	4609.5	333.8329101	0.00465514
2	seg7	1.0	4046.0	5051.5	0.095292422	4285.37081	0.001476999	2296.0	0	4100.0	352.4665987	0.006156419
2	seg6	1.0	4134.0	5051.5	0.095292422	4308.153374	0.001302729	2296.0	0	4519.5	353.095678	0.006096947
2	seg10	1.0	4145.0	4596.0	0.061903332	4027.183241	0.001219769	1179.0	0	3329.0	417.7878044	0.004352491
