Classifier,precision,recall,f1-score,accuracy
Random Forest,0.608673473987631,0.5734162244436216,0.5737345063349941,0.5734162244436216
SVM,0.7240751789166644,0.6250226253650911,0.5482901514747816,0.6250226253650911
Gradient Boosting,0.6189460536124738,0.570788596815994,0.565269985534506,0.570788596815994
K-Nearest Neighbors,0.6067101051246115,0.5326915957052943,0.540292566808067,0.5326915957052943
AdaBoost,0.5838605288769289,0.5431599407626805,0.5350962410123404,0.5431599407626805
Logistic Regression,0.6925832313763386,0.6032158871199967,0.5230462309855746,0.6032158871199967
Multi-Layer Perceptron,0.6327485192553686,0.6061427866222386,0.5758045525923435,0.6061427866222386
Gaussian Naive Bayes,0.591518988654068,0.5542710518737917,0.5646947340269934,0.5542710518737917
Decision Tree,0.5974531626408794,0.5378697190341025,0.5526281389896026,0.5378697190341025
Linear Discriminant Analysis,0.6567180959932325,0.6005512361676746,0.5317708900912244,0.6005512361676746
Bagging,0.5834186175697916,0.5189538853922416,0.5356252144143335,0.5189538853922416
Extra Trees,0.6093327329736542,0.5545374141264553,0.5637073833981419,0.5545374141264553
Gaussian Process,0.6078468442906724,0.5894781768069439,0.5741971131657179,0.5894781768069439
Ridge,0.6838553086830317,0.5950327039368135,0.5108784943091947,0.5950327039368135
Linear Support Vector Classifier,0.6901101436692099,0.5977354066395163,0.5153167068865377,0.5977354066395163
Calibrated Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
Histogram Gradient Boosting,0.6160120011253939,0.5626084989098687,0.5679562117132526,0.5626084989098687
Dummy Classifier,0.798642023575986,0.6523818338886832,0.5269670122442127,0.6523818338886832
