Classifier,precision,recall,f1-score,accuracy
Random Forest,0.5838989540945598,0.606471477265419,0.57259244435044,0.606471477265419
SVM,0.581732654758911,0.6148080262396296,0.5460252247396381,0.6148080262396296
Gradient Boosting,0.5873757238068201,0.5933130747958069,0.5678338121892363,0.5933130747958069
K-Nearest Neighbors,0.5607818838541914,0.5762235513537848,0.5625173606634722,0.5762235513537848
AdaBoost,0.5468034346090025,0.5597449996784359,0.5442206731219643,0.5597449996784359
Logistic Regression,0.5906625724374661,0.6093285741848351,0.5827415385324627,0.6093285741848351
Multi-Layer Perceptron,0.5806951135682288,0.5816606641370292,0.5778833072346723,0.5816606641370292
Gaussian Naive Bayes,0.6060413241021448,0.5462430595751067,0.5460202536010245,0.5462430595751067
Decision Tree,0.5938576142133167,0.6095579565674105,0.599274047868989,0.6095579565674105
Linear Discriminant Analysis,0.6199182311214908,0.6259191373507408,0.6155480191507748,0.6259191373507408
Bagging,0.5649983338627819,0.5564248504726992,0.5570861053331215,0.5564248504726992
Extra Trees,0.5047999681324143,0.5980239886809441,0.5258517953737407,0.5980239886809441
Gaussian Process,0.5175580248095558,0.5402223079726456,0.5232070955962905,0.5402223079726456
Ridge,0.6038711533147437,0.6175456085064421,0.5941610006533966,0.6175456085064421
Linear Support Vector Classifier,0.6050080841976626,0.6175466803867344,0.6026691751915151,0.6175466803867344
Calibrated Classifier,0.7778603979787341,0.65601807190173,0.5237951930943061,0.65601807190173
Histogram Gradient Boosting,0.5701832503413404,0.6009180654704483,0.5712529798769009,0.6009180654704483
Dummy Classifier,0.7767089415870825,0.6532783458743328,0.5176710569862861,0.6532783458743328
