Classifier,precision,recall,f1-score,accuracy
Random Forest,0.5403852761955055,0.593766461808604,0.5538394375405878,0.593766461808604
SVM,0.7812799607807166,0.6589991220368744,0.5261908198946361,0.6589991220368744
Gradient Boosting,0.5583026777150351,0.5935908691834942,0.5566483915904085,0.5935908691834942
K-Nearest Neighbors,0.541646915559182,0.593766461808604,0.5519671291215593,0.593766461808604
AdaBoost,0.5401896464057174,0.5935469710272169,0.5420254003574776,0.5935469710272169
Logistic Regression,0.7812799607807166,0.6589991220368744,0.5261908198946361,0.6589991220368744
Multi-Layer Perceptron,0.6096420815627781,0.6471027216856893,0.5203298691470671,0.6471027216856893
Gaussian Naive Bayes,0.6003233549633374,0.5964442493415276,0.5138030719369128,0.5964442493415276
Decision Tree,0.5726017054007282,0.5546093064091309,0.5577228316718026,0.5546093064091309
Linear Discriminant Analysis,0.7239478965428827,0.6560140474100088,0.5247262890021877,0.6560140474100088
Bagging,0.557447141870816,0.5697980684811238,0.5537566855914301,0.5697980684811238
Extra Trees,0.5943683889689029,0.6173836698858647,0.5855412332959953,0.6173836698858647
Gaussian Process,0.5766606910363149,0.6233538191395962,0.520438093593403,0.6233538191395962
Ridge,0.7812799607807166,0.6589991220368744,0.5261908198946361,0.6589991220368744
Linear Support Vector Classifier,0.7239478965428827,0.6560140474100088,0.5247262890021877,0.6560140474100088
Calibrated Classifier,0.7812799607807166,0.6589991220368744,0.5261908198946361,0.6589991220368744
Histogram Gradient Boosting,0.5427245335565752,0.5727831431079895,0.5387514764329646,0.5727831431079895
Dummy Classifier,0.7812799607807166,0.6589991220368744,0.5261908198946361,0.6589991220368744
