Classifier,precision,recall,f1-score,accuracy
Random Forest,0.6152275487509518,0.6408295281582952,0.5997943331245853,0.6408295281582952
SVM,0.6147757637300771,0.6437214611872146,0.5813025405174779,0.6437214611872146
Gradient Boosting,0.5875015925062788,0.6188736681887367,0.5858161178872104,0.6188736681887367
K-Nearest Neighbors,0.6124397601434599,0.6161339421613394,0.6108664704225871,0.6161339421613394
AdaBoost,0.5480616445193855,0.5524353120243533,0.5464677872062416,0.5524353120243533
Logistic Regression,0.5786838296837329,0.5827625570776255,0.5778591106019121,0.5827625570776255
Multi-Layer Perceptron,0.6109932972937849,0.6106544901065449,0.6074280088447024,0.6106544901065449
Gaussian Naive Bayes,0.7001441712375707,0.4468797564687976,0.36165005918620413,0.4468797564687976
Decision Tree,0.5363359125924537,0.5054033485540335,0.5114839266580749,0.5054033485540335
Linear Discriminant Analysis,0.5634166372718452,0.5356544901065449,0.5431554317303167,0.5356544901065449
Bagging,0.5612027168805614,0.566400304414003,0.5587320496138501,0.566400304414003
Extra Trees,0.5931906573502761,0.6245053272450533,0.5928363531543168,0.6245053272450533
Gaussian Process,0.6356097366301015,0.618835616438356,0.6210312433132434,0.618835616438356
Ridge,0.5594713915033632,0.5469939117199392,0.5486910954310436,0.5469939117199392
Linear Support Vector Classifier,0.5571804489804963,0.5385464231354642,0.5429418584949177,0.5385464231354642
Calibrated Classifier,0.7178664406728614,0.6492389649923896,0.514567500289033,0.6492389649923896
Histogram Gradient Boosting,0.6080124680250484,0.6298706240487062,0.6020854837900396,0.6298706240487062
Dummy Classifier,0.7759698997333482,0.6519786910197869,0.5159094357729039,0.6519786910197869
