Classifier,precision,recall,f1-score,accuracy
Random Forest,0.5935850097695587,0.6003424657534246,0.5609486686102858,0.6003424657534246
SVM,0.6465591317942792,0.6250380517503805,0.5691632743369478,0.6250380517503805
Gradient Boosting,0.6370807398247145,0.5921232876712328,0.5674556038208092,0.5921232876712328
K-Nearest Neighbors,0.624002844219446,0.5729071537290716,0.5685337027112352,0.5729071537290716
AdaBoost,0.5998160025836233,0.5729071537290715,0.5735794729537965,0.5729071537290715
Logistic Regression,0.6199305743126138,0.5895738203957382,0.5959986469211966,0.5895738203957382
Multi-Layer Perceptron,0.6328172232808021,0.5980213089802131,0.605281320996535,0.5980213089802131
Gaussian Naive Bayes,0.6810843510736471,0.4409436834094368,0.3770237854455712,0.4409436834094368
Decision Tree,0.6355180942339865,0.5781963470319634,0.5864539385529663,0.5781963470319634
Linear Discriminant Analysis,0.6152000840575244,0.5649543378995434,0.5774327541502379,0.5649543378995434
Bagging,0.5915492209385795,0.5562404870624049,0.5565545385010549,0.5562404870624049
Extra Trees,0.6172891526998722,0.5867960426179604,0.5664836668476215,0.5867960426179604
Gaussian Process,0.6242244324700119,0.562138508371385,0.5774322190632553,0.562138508371385
Ridge,0.6437486046117058,0.6200152207001522,0.6252689872052544,0.6200152207001522
Linear Support Vector Classifier,0.6283394526333346,0.597945205479452,0.607636962032138,0.597945205479452
Calibrated Classifier,0.8001738464006636,0.6524733637747336,0.528430854117541,0.6524733637747336
Histogram Gradient Boosting,0.6365067387705943,0.6195585996955859,0.5894514978043074,0.6195585996955859
Dummy Classifier,0.8001738464006636,0.6524733637747336,0.528430854117541,0.6524733637747336
